mean_SFR mean_SFR_spi mean_SFR_ell mean_SSFR mean_SSFR_spi mean_SSFR_ell mean_e mean_e_spi mean_e_ell std_e std_e_spi std_e_ell split_fracs
2.240658e-01 2.846490e-01 4.635475e-02 2.216393e-10 2.964410e-10 2.221183e-12 2.501950e-01 2.605079e-01 2.199439e-01 2.040341e-01 2.036199e-01 2.022326e-01 3.409091e-01
1.134679e-01 3.653760e-01 4.749622e-03 7.181999e-11 2.338698e-10 1.882690e-12 1.832846e-01 1.760561e-01 1.864042e-01 2.000923e-01 1.462589e-01 2.192066e-01 2.317073e+00
1.602057e-01 4.934032e-01 5.679373e-03 6.731431e-11 2.089062e-10 1.648510e-12 1.683220e-01 1.599987e-01 1.721821e-01 1.822460e-01 1.415336e-01 1.981916e-01 2.156250e+00
2.641082e-01 4.593101e-01 6.931465e-03 1.773699e-10 3.102818e-10 2.259738e-12 1.910081e-01 1.786398e-01 2.073033e-01 1.993872e-01 1.635008e-01 2.375827e-01 7.590188e-01
3.115580e-01 4.114528e-01 2.866999e-02 2.255140e-10 3.042821e-10 2.453956e-12 2.275848e-01 2.248735e-01 2.352628e-01 2.190338e-01 2.061683e-01 2.517689e-01 3.531250e-01
1.758327e-01 3.441972e-01 1.966003e-02 1.167105e-10 2.399133e-10 2.429314e-12 1.869891e-01 1.750669e-01 1.980479e-01 1.998191e-01 1.647791e-01 2.269888e-01 1.078067e+00
8.163964e-02 3.209548e-01 4.968065e-03 4.285312e-11 1.710701e-10 1.775069e-12 1.993264e-01 1.683009e-01 2.092664e-01 2.393129e-01 1.456332e-01 2.615662e-01 3.121302e+00
1.371542e-01 3.101861e-01 5.763148e-03 1.045650e-10 2.395330e-10 2.077527e-12 2.041197e-01 2.013353e-01 2.062341e-01 1.934827e-01 1.696871e-01 2.097316e-01 1.316923e+00
2.176786e-01 3.826531e-01 2.074027e-02 1.733847e-10 3.172937e-10 1.593307e-12 2.179788e-01 1.820926e-01 2.608179e-01 2.466872e-01 1.589912e-01 3.161509e-01 8.376963e-01
4.563555e-01 7.468060e-01 2.335278e-02 2.317066e-10 3.856984e-10 2.136070e-12 2.547632e-01 2.651182e-01 2.393260e-01 2.467888e-01 2.296006e-01 2.696546e-01 6.707819e-01
3.614942e-01 5.202854e-01 2.478038e-02 2.821613e-10 4.132161e-10 4.261908e-12 2.085066e-01 2.021570e-01 2.219709e-01 2.045953e-01 1.660456e-01 2.681232e-01 4.715909e-01
2.427299e-01 3.576283e-01 2.272088e-02 1.911167e-10 2.882723e-10 5.081850e-12 2.299936e-01 2.213320e-01 2.465790e-01 2.263815e-01 1.905274e-01 2.818728e-01 5.222437e-01
4.166112e-01 7.062131e-01 1.238924e-02 1.688586e-10 2.885908e-10 1.738076e-12 1.899091e-01 1.948466e-01 1.830174e-01 1.743328e-01 1.547428e-01 1.982635e-01 7.164430e-01
